paradisaical: paradisiacal 
palmists: psalmist 
altruisms: muralists 
altruism: muralist 
islam: mails 
latium: ultima 
lain: nail 
tonsorial: torsional 
lapin: plain 
lapins: plains spinal 
plaint: pliant 
insular: urinals 
nails: slain snail 
instal: stalin 
nastily: saintly 
anvils: silvan 
alvin: anvil vilna 
royalist: solitary 
tolyatti: totality 
viola: voila 
pastil: plaits 
aril: lair lari liar lira rail rial 
lairs: liars liras rails rials 
trails: trials 
trail: trial 
rival: viral 
ails: lisa sail 
sails: silas sisal 
litas: tails 
alit: lati tail tali 
italy: laity 
vail: vial vila 
aim: mia 
imam: maim 
maoism: mimosa 
imams: maims 
amin: main 
amnion: minoan 
amnions: mansion onanism 
antimony: antinomy 
amnio: naomi omani 
marion: romani 
antrim: martin 
mantis: matins 
maori: mario 
maoist: taoism 
pamir: priam 
armpits: imparts 
armpit: impart 
amir: irma mira 
ani: ian ina 
anoints: nations onanist 
anoint: nation 
ontario: oration 
puritans: rasputin 
pains: pisan spain 
inapt: paint 
iran: rain rani 
naris: rains ranis 
strain: trains 
transit: tristan 
saints: satins stains 
antis: saint satin stain 
taints: titans 
sanity: satiny 
swain: wains 
anti: nita tina 
taint: titan 
ivan: vain 
patios: patois 
aorist: ratios rosita satori 
saviour: various 
ratio: troia 
iotas: ostia 
pairs: paris 
rapist: tapirs 
pitas: pitas 
patti: pitta 
pizazz: pizzaz 
air: ira 
airs: sari 
sitars: stairs 
artists: straits tsarist 
astir: sitar stair stria tarsi 
artist: strait strati traits 
airy: iyar 
assist: stasis 
vista: vitas 
waist: waits 
siva: visa 
jason: jonas sonja 
jaunts: juntas 
jaunt: junta 
jar: raj 
kolas: skoal 
outwalk: walkout 
karl: lark 
stalk: talks 
amok: mako 
akron: koran krona 
nark: rank 
narks: ranks 
stank: tanks 
swank: wanks 
snaky: yanks 
kant: tank 
oak: oka 
oaks: soak 
kayos: okays 
kayo: okay 
parks: spark 
karst: karts stark 
auks: sauk skua 
kay: yak 
al: la 
mallory: morally 
malls: small 
lola: olla 
allots: atolls 
allows: sallow 
swallow: wallows 
allot: atoll 
tallowy: tollway 
alloy: loyal 
molnar: normal 
lyman: manly 
lamppost: palmtops 
molar: moral 
molars: morals 
lamp: palm 
lamps: palms plasm psalm 
amply: palmy 
marly: mylar 
alms: lams slam 
alyssum: asylums 
alums: mauls 
mutual: umlaut 
alum: maul 
lonna: nolan 
lorna: ronal 
loans: salon 
alton: talon tonal 
lunar: ulnar 
sultan: tulsan 
ulnas: ulsan 
patrols: portals 
postural: pulsator 
patrol: portal 
opals: salop 
arlo: lora oral 
orals: solar 
ovular: valour 
orval: valor 
also: laos 
layouts: outlays 
ovals: salvo 
lotta: total 
layout: outlay 
alp: lap pal 
paltry: partly raptly 
alps: laps pals slap 
plats: splat 
palsy: plays splay 
aptly: patly platy 
paul: pula 
lustra: ultras 
sural: urals 
rattly: tartly 
las: sal 
lasts: salts slats 
last: lats salt slat 
talus: tulsa 
salty: slaty 
luaus: usual 
lavs: slav 
awls: laws slaw 
lays: slay 
lav: val 
awl: law 
am: ma 
moan: mona oman 
maroon: romano 
postman: tampons 
manor: norma ramon roman 
manors: ransom romans 
matrons: transom 
mason: moans osman 
masons: samson 
many: myna 
roam: roma 
mayors: morays 
mayor: moray 
amos: soma 
atoms: moats stoma 
atom: moat 
amoy: mayo 
amp: map pam 
pram: ramp 
prams: ramps 
amps: maps spam 
spams: spasm 
stamp: tamps 
arm: mar ram 
arms: mars rams 
marts: smart trams 
swarm: warms 
mart: tram 
amur: arum 
army: mary myra 
mas: sam 
mast: mats tams 
maws: swam 
mays: yams 
mat: tam 
amy: may yam 
ann: nan 
anon: nona 
aprons: parson 
patrons: tarpons 
patron: tarpon 
panto: paton 
arno: nora oran roan rona 
arson: roans 
axons: saxon 
avon: nova 
nap: pan 
suntraps: unstraps 
suntrap: unstrap 
naps: pans snap span 
snaps: spans 
pawns: spawn 
rants: tarns 
rant: tarn 
runway: unwary 
nary: ryan yarn 
ants: stan tans 
aunts: tunas 
antsy: nasty tansy 
awns: sawn swan 
ant: tan 
aunt: tuna 
awn: wan 
any: nay 
apropos: sapporo 
parrots: raptors 
parrot: raptor 
autopsy: payouts 
oars: rosa soar 
assort: roasts 
astor: roast rotas sorta taros 
rota: taro tora 
stoats: toasts 
oats: stoa 
stoat: toast 
oat: tao 
avo: ova 
app: pap 
apps: paps 
par: rap 
pars: raps rasp spar 
rasps: spars 
sprats: straps 
startups: upstarts 
parts: prats sprat strap tarps traps 
startup: upstart 
warps: wraps 
prays: raspy spray 
part: prat rapt tarp trap 
warp: wrap 
asp: pas sap 
pass: saps spas 
pasts: spats 
swaps: wasps 
past: pats spat taps 
sputa: stupa 
pasty: patsy 
paws: swap wasp 
pays: spay yaps 
apt: pat tap 
pay: pya yap 
stars: tsars 
satyrs: strays 
arts: rats star tars tsar 
start: tarts 
surat: sutra 
straw: swart warts 
artsy: satyr stray trays 
raws: wars 
art: rat tar 
ratty: tarty tatry 
arty: tray 
raw: war 
awry: wary 
ayr: ray rya 
stat: tats 
twats: watts 
vast: vats 
swat: twas wast 
saw: was 
sway: ways yaws 
at: ta 
attu: taut 
twat: watt 
way: yaw 
ay: ya 
blobbed: bobbled 
blubbed: bubbled 
blobbing: bobbling 
blubbing: bubbling 
clobber: cobbler 
clobbers: cobblers 
bribed: ribbed 
bombed: mobbed 
dubber: rubbed 
subbed: subdeb 
beriberis: briberies 
rubbishes: rubbishes 
briber: ribber 
bribers: ribbers 
stubbier: subtribe 
lobbers: slobber 
pebbly: plebby 
burbles: lubbers rubbles 
burble: lubber rubble 
bribing: ribbing 
bombing: mobbing 
gibbons: sobbing 
ribbons: robbins 
blubs: bulbs 
blub: bulb 
bourbons: bourbons 
booby: yobbo 
bucked: dubcek 
bounced: buncoed 
beeches: beseech 
susceptibilities: susceptibilities 
butchers: schubert 
buckle: lubeck 
comber: recomb 
bruce: cuber 
cebu: cube 
bouncing: buncoing 
cubist: cubits 
sunblock: unblocks 
curbs: scrub 
betided: debited 
bouldered: redoubled 
disburden: underbids 
bidder: birded 
bed: deb 
buffered: rebuffed 
briefed: debrief 
begrudge: buggered debugger 
belied: edible 
bellied: libeled 
erodible: reboiled 
delibes: edibles 
bendier: inbreed 
delbert: trebled 
buttered: rebutted 
bedew: dweeb 
blogged: boggled 
betiding: debiting 
bugled: bulged 
budges: debugs 
budge: debug 
subsidies: subsidise 
blinder: brindle 
blinders: brindles 
dubliner: unbridle 
bristled: driblets 
builders: rebuilds 
builder: rebuild 
bedim: imbed 
bedims: imbeds 
binder: inbred rebind 
binders: rebinds 
brides: debris rebids 
bedsit: bidets debits 
bidet: debit 
bunked: debunk 
bordello: doorbell 
bordellos: doorbells 
bowlder: lowbred 
bloused: doubles 
blotted: bottled 
blued: lubed 
bedroom: boredom 
bedrooms: boredoms 
sunburned: unburdens 
unburden: unburned 
bounders: rebounds suborned 
bounder: rebound 
burden: burned 
doubters: obtrudes redoubts 
doubter: obtrude redoubt 
beds: debs 
busted: debuts 
debut: tubed 
birdsong: songbird 
bids: dibs 
bod: dob 
bods: dobs 
body: boyd 
buds: dubs 
bud: dub 
beefier: freebie 
breughel: brueghel 
beginner: benigner 
behest: thebes 
impressible: permissible 
lumberers: slumberer 
boneless: noblesse 
obversely: verbosely 
bleep: plebe 
bleeps: plebes 
elbert: treble 
somberness: sombreness 
steuben: subteen 
observes: obverses 
observe: obverse verbose 
bestrew: webster 
beets: beset 
bette: tebet 
buffering: rebuffing 
buffers: rebuffs 
buffer: rebuff 
brief: fiber fibre 
briefs: fibers fibres 
brugge: bugger 
berthing: brighten 
bluegill: gullible 
lumberings: slumbering 
blessing: glibness 
begin: being binge 
bering: binger 
buttering: rebutting 
begins: beings binges 
buglers: burgles 
bugler: burgle 
bugles: bulges 
bugle: bulge 
booger: goober 
boogers: goobers 
publisher: republish 
blushes: bushels 
impressibility: permissibility 
mobilises: omissible 
briskest: briskets 
emboli: mobile 
boilers: reboils 
blisters: bristles 
blister: bristle 
timbers: timbres 
resubmit: terbiums 
timber: timbre 
erbium: imbrue 
tribunes: turbines 
bittern: britten 
tribune: turbine 
bier: brie 
biers: bries 
bestir: biters 
bustier: rubiest 
bruise: buries busier rubies 
tiber: tribe 
berk: kerb 
berks: kerbs 
bellows: boswell 
somberly: sombrely 
stumbler: tumblers tumbrels 
lumbers: rumbles slumber 
tumbler: tumbrel 
lumber: rumble 
stumble: tumbles 
nobel: noble 
sunbelt: unblest 
bole: lobe 
bolsters: lobsters 
bolster: lobster 
blotters: bottlers 
blowers: bowlers 
blotter: bottler 
blower: bowler 
boles: lobes 
blouses: boluses 
blouse: boules obelus 
bowels: elbows 
below: bowel elbow 
bluster: bustler butlers subtler 
elbrus: rubles 
bluer: rubel ruble 
bustles: sublets 
belts: blest 
bluest: bluets bustle sublet subtle 
blues: lubes 
blue: lube 
somber: sombre 
mobsters: sombrest 
besoms: emboss 
ben: neb 
benton: bonnet 
bone: ebon 
boner: borne 
breton: bronte 
bourne: unrobe 
boney: ebony 
brunet: bunter 
booster: reboots 
boer: bore ebro 
bores: robes sober 
sorbets: strobes 
sorbet: strobe 
bowers: browse 
bosses: obsess 
brutes: buster rebuts tubers 
rebus: rubes 
bert: bret 
brute: buret rebut tuber 
best: bets 
betsy: bytes 
beys: byes 
bute: tube 
bey: bye 
blogging: boggling 
bugling: bulging 
stumbling: tumblings 
blotting: bottling 
blowing: bowling 
bluing: lubing 
boring: robing 
bingos: gibson 
busings: bussing 
busting: tubings 
blog: glob 
blogs: globs 
bog: gob 
bogs: gobs 
burgs: grubs 
burg: grub 
borsht: broths throbs 
broth: throb 
bosh: hobs 
brush: shrub 
bush: hubs 
mbini: nimbi 
biko: kibo 
sibyl: sybil 
bin: nib 
bins: nibs 
bio: ibo obi 
bistro: orbits 
bios: obis 
bris: ribs 
bonk: knob 
bonks: knobs 
book: kobo 
brusk: burks 
lobs: slob 
blots: bolts 
blows: bowls 
blot: bolt 
blow: bowl 
blurs: burls 
blur: burl 
booms: bosom 
boons: boson 
born: brno 
bourn: bruno 
byron: robyn 
nobs: snob 
bonus: bosun 
brunt: burnt 
buns: nubs snub 
bun: nub 
boost: boots 
bro: orb rob 
bros: orbs robs 
robust: turbos 
bows: swob 
boys: yobs 
boy: yob 
burs: rubs 
brut: burt 
bur: rub 
bury: ruby 
busts: stubs 
buss: subs 
bust: buts stub tubs 
bus: sub 
busy: buys 
but: tub 
crescentic: eccentrics 
checkered: rechecked 
concerted: concreted 
constructed: deconstruct 
centerpieces: centrepieces 
centerpiece: centrepiece 
checkering: rechecking 
egocentric: geocentric 
checker: recheck 
checkers: rechecks 
creches: screech 
cervices: crevices 
countercultures: countercultures 
connecters: reconnects 
connecter: reconnect 
concerting: concreting 
chicle: cliche 
chicles: cliches 
choice: echoic 
choices: cochise 
crochets: crotches 
circle: cleric 
circles: clerics 
cecily: cicely 
conciser: cornices 
concerti: necrotic 
constructer: reconstruct 
citric: critic 
cockily: colicky 
comics: cosmic 
crocus: occurs succor 
decreed: receded 
decide: deiced 
discerned: rescinded 
uncredited: undirected 
decider: decried 
deciders: descried 
credited: directed 
deduces: seduced 
deduce: educed 
deductions: discounted 
coddles: scolded 
deduct: ducted 
discreetnesses: discretenesses 
indirectnesses: indiscreetness 
rediscoveries: rediscoveries 
directnesses: discreetness discreteness 
deceiver: received 
deselect: selected 
predecessor: reprocessed 
creeped: precede 
respected: sceptered 
excepted: expected 
decree: recede 
decrees: recedes 
resected: secreted 
certified: rectified 
centerfolds: centrefolds 
centerfold: centrefold 
genocides: genocides 
congested: decongest 
ciphered: decipher 
indiscreetly: iridescently 
indiscreet: iridescent 
declension: indolences 
decliner: reclined 
declines: licensed silenced 
discreetly: discretely 
discoverers: rediscovers 
discoverer: rediscover 
decrepit: depicter 
directer: redirect 
decries: deicers 
discreet: discrete 
directest: trisected 
certitudes: certitudes rectitudes 
certitude: rectitude 
commender: recommend 
decomposer: recomposed 
compressed: decompress 
denouncer: renounced 
encoder: encored 
censored: encoders seconder 
conserved: conversed 
countered: recounted 
descent: scented 
procedures: reproduces 
procedure: reproduce 
recorder: rerecord 
recorders: rerecords 
corseted: escorted 
ceder: creed 
ceders: creeds screed 
reduces: rescued secured seducer 
deuces: educes seduce 
deuce: educe 
discerning: rescinding 
crediting: directing 
consigned: seconding 
choked: hocked 
chunder: churned 
chowders: cowherds 
chowder: cowherd 
cedi: dice iced 
indirections: indiscretion 
commissioned: decommission 
conditioners: reconditions 
conditioner: recondition 
description: predictions 
directions: discretion 
cretinoid: direction 
distincter: interdicts 
indicter: indirect 
incised: indices 
crudities: diuretics 
deistic: diciest 
dickens: snicked 
compiled: complied 
includes: unsliced 
include: nuclide 
coiled: docile 
docetism: domestic 
continued: unnoticed 
codein: coined 
discounter: introduces rediscount reductions 
introduce: reduction 
seduction: suctioned 
cinders: discern rescind 
discerns: rescinds 
incudes: induces 
creditors: directors recordist 
creditor: director 
discover: divorces 
predicts: scripted 
cider: cried dicer riced 
credits: directs 
crudites: curtsied 
credit: direct 
cited: edict 
vedic: viced 
corked: docker rocked 
dockets: stocked 
condoles: consoled 
curdle: curled 
code: coed 
procured: producer 
coder: cored credo decor 
corder: record 
coders: credos decors scored 
coursed: scoured sourced 
codes: coeds 
codex: coxed 
crudest: crusted 
crudes: cursed 
cyders: descry 
crude: cured 
cyder: decry 
chords: schrod 
jurisdictions: jurisdictions 
lucid: ludic 
conduits: discount 
cupids: cuspid 
clod: cold 
clods: colds scold 
cloud: could 
condor: cordon 
condors: cordons 
cod: doc 
cords: scrod 
cods: docs 
cruds: curds 
crud: curd 
cuds: scud 
impertinences: impertinences 
electives: selective 
centimeters: centimetres 
centimeter: centimetre 
epicenters: epicentres 
epicenter: epicentre 
perceptive: preceptive 
cementers: cerements 
cementer: cerement 
senescent: sentences 
rescreen: screener 
recenter: terrence 
chiefest: fetiches 
imperfections: perfectionism 
certifier: rectifier 
certifies: rectifies 
frenetic: reinfect 
fierce: recife 
conferer: confrere enforcer 
confreres: enforcers 
perfects: prefects 
perfect: prefect 
egocentrism: geocentrism 
congeries: recognise 
excepting: expecting 
congreve: converge 
kitchener: thickener 
sketchiness: thicknesses 
chenille: hellenic 
helices: lichees 
chestier: heretics 
chestiest: esthetics 
sepulchers: sepulchres 
sepulcher: sepulchre 
chessmen: mensches 
schemer: schmeer 
retrench: trencher 
cohere: echoer reecho 
cheeps: speech 
cheers: escher 
chester: etchers retches 
insolvencies: insolvencies 
centiliters: centilitres 
centiliter: centilitre 
elections: selection 
licenser: reclines silencer 
license: silence 
licenses: silences 
cruelties: cutleries 
clevises: vesicles 
micrometers: micrometres 
micrometer: micrometre 
economies: economise 
ecumenist: intumesce 
reconnoiters: reconnoitres 
reconnoiter: reconnoitre 
incenses: niceness 
counterspies: persecutions 
resections: secretions 
erections: resection secretion 
erection: neoteric 
prescient: reinspect 
insecure: sinecure 
enteric: enticer 
evince: venice 
coteries: esoteric 
pierce: recipe 
preciser: reprices 
pierces: precise recipes 
precisest: tricepses 
pieces: specie 
scleroses: scoreless 
electors: selector 
cureless: recluses 
cruelest: lectures 
elects: select 
compeer: compere 
compeers: comperes 
conquerer: reconquer 
converters: reconverts 
converter: reconvert 
conserves: converses 
conserve: converse 
conveyer: reconvey 
centers: centres 
center: centre recent 
recrosses: sorceress 
recourses: resources 
erectors: secretor 
recourse: resource 
percept: precept 
creep: crepe 
creeps: crepes 
respects: scepters sceptres specters spectres 
respect: scepter sceptre specter spectre 
creepy: crepey 
excepts: expects 
except: expect 
rescuer: securer 
ceres: scree 
recess: screes 
rescues: secures 
erects: resect secret 
cereus: recuse rescue secure 
crete: erect 
coiffeur: coiffure 
coffers: scoffer 
certifying: rectifying 
configures: refocusing 
chief: fiche 
chiefly: chifley 
chiefs: fiches 
fetich: fichte 
fickler: flicker 
conifers: forensic 
certify: rectify 
pocketfuls: pocketsful 
forces: fresco 
licensing: silencing 
piercings: precising 
contenting: contingent 
censoring: consigner reconsign 
conserving: conversing 
countering: recounting 
resourcing: scroungier 
corseting: escorting 
coveting: vietcong 
rescuing: securing 
homiletics: mesolithic 
ethicist: itchiest theistic 
kitchens: thickens 
kitchen: thicken 
kirsches: kirsches 
thickest: thickets thickset 
chillers: schiller 
phenolic: pinochle 
chlorite: clothier 
chiles: chisel 
chine: niche 
phrenic: pincher 
chines: inches niches 
ethnics: sthenic 
coheir: heroic 
chorister: rhetorics 
coheirs: heroics 
erich: reich 
restitch: stitcher 
ethics: itches 
chokers: shocker 
chemos: schmoe 
chutneys: chutneys 
ocherous: ochreous 
porches: porsche 
cheops: epochs 
chore: ocher ochre 
chores: ochers ochres 
hectors: torches 
hector: troche 
chose: echos 
chert: retch 
chest: techs 
chesty: scythe 
echt: etch tech 
continuities: continuities 
toxicities: toxicities 
ickiness: kinesics 
commissioner: recommission 
commissioners: recommissions 
eroticisms: isometrics 
eroticism: isometric 
comities: semiotic 
inconsistent: nonscientist 
inceptions: inspection 
scrutinies: scrutinise sinecurist 
citrine: inciter 
iciness: incises 
cities: iciest 
corklike: rocklike 
clinker: crinkle 
clinkers: crinkles 
stickler: ticklers trickles 
tickler: trickle 
misreckon: monickers 
nickers: snicker 
rockiest: stockier 
pickets: skeptic 
rickets: sticker tickers 
crikey: rickey 
completions: completions 
compile: polemic 
compiles: complies polemics 
colonies: colonise 
cornelius: inclosure reclusion 
exclusions: exclusions 
pencils: splenic 
clients: stencil 
cloister: costlier 
clipper: cripple 
clippers: cripples 
relics: slicer 
celsius: sluices 
economist: emoticons 
consumerists: misconstrues 
consumerist: misconstrue 
competitor: optometric 
ceriums: murices 
cerium: uremic 
cesiums: miscues 
cesium: miscue 
cine: nice 
centurion: continuer 
percussion: supersonic 
cornier: corrine 
coiners: cronies ericson 
ericsson: necrosis 
countries: cretinous neurotics 
conies: cosine 
cession: cosines 
cessions: cosiness 
notices: section 
noetic: notice 
pincer: prince 
pincers: princes 
inspect: pectins 
cistern: cretins 
incests: insects 
incest: insect nicest 
corries: crosier 
coexist: exotics 
epic: pice 
cripes: precis prices 
epics: spice 
pisces: spices 
cire: eric 
criers: ricers 
cruisers: scurries 
critters: restrict stricter 
crustier: recruits 
cruiser: curries 
cries: rices 
citruses: curtsies 
cursives: scurvies 
cruise: curies 
civets: evicts 
civet: evict 
jounces: juncoes 
conker: reckon 
conkers: reckons 
cooker: recook 
cookers: recooks 
corker: rocker 
corkers: rockers 
restock: rockets 
pecks: speck 
colones: console 
consoles: coolness 
counsel: unclose 
cleo: cole 
colorer: recolor 
coolest: ocelots 
closeup: couples 
clover: velcro 
closest: closets 
cluster: cutlers 
lucres: ulcers 
cruelty: cutlery 
cruel: lucre ulcer 
cutlets: scuttle 
clue: luce 
costumers: customers 
costumer: customer 
comet: comte 
crumpets: spectrum 
cone: once 
coroner: crooner 
coroners: crooners 
corners: scorner 
censor: crones recons 
construe: counters recounts trounces 
counter: recount trounce 
cones: onces scone 
contuses: countess 
curtness: encrusts 
cents: scent 
coopers: scooper 
courteous: outsource 
coyote: oocyte 
precursor: procurers 
corpses: process 
prescott: protects 
copes: copse pecos scope 
copses: scopes 
corers: scorer 
crosser: recross scorers 
coursers: scourers 
courser: scourer 
cores: score 
corsets: escorts sectors 
courses: croesus sources sucrose 
corset: cortes escort rectos sector 
coverts: vectors 
course: source 
cowers: escrow 
covert: vector 
corey: coyer royce 
pecs: spec 
curers: recurs 
curer: recur 
cruses: curses 
certs: crest 
curtest: cutters 
cruets: custer eructs truces 
cruse: cures curse ecrus sucre 
crews: screw 
cruet: cuter eruct recut truce 
cure: ecru 
cutesy: cuteys 
cues: ecus 
cue: ecu 
cuffs: scuff 
frictions: frictions 
confusions: confusions 
coif: foci 
ficus: sufic 
cupfuls: cupsful 
choking: hocking 
lickings: slicking 
sticking: tickings 
cognitions: incognitos 
cognition: incognito 
corking: rocking 
cowlings: scowling 
cummings: scumming 
gnomonic: oncoming 
coming: gnomic 
copings: scoping 
coursing: scouring sourcing 
costing: gnostic 
histrionics: trichinosis 
kitsch: shtick thicks 
chin: inch 
chopin: phonic 
choir: ichor 
chit: itch 
chivy: vichy 
hock: koch 
hocks: shock 
chylous: slouchy 
churl: lurch 
chum: much 
nonsuch: sunchon 
couth: touch 
cush: such 
nitpicks: stickpin 
cotillion: octillion 
sciolist: solicits 
colitis: solicit 
licks: slick 
nicks: snick 
stickup: upticks 
stick: ticks 
coil: loci 
cyril: lyric 
monotypic: toponymic 
moronic: omicron 
crimson: microns 
crimps: scrimp 
cion: coin icon 
coins: icons scion sonic 
scions: sonics 
consist: tocsins 
tocsin: tonics 
ontic: tonic 
incur: runic 
pictor: tropic 
optics: picots topics 
optic: picot topic 
crisp: scrip 
crisps: scrips 
pics: spic 
curtiss: rustics 
citrus: curtis rictus rustic 
mocks: smock 
pocks: spock 
cork: kroc rock 
corks: rocks 
corky: rocky 
struck: trucks 
stuck: tucks 
culls: scull 
clumsy: muscly 
cool: loco 
cools: locos 
clots: colts 
clouts: locust 
cowls: scowl 
clot: colt 
cums: scum 
coupons: soupcon 
contours: croutons 
contour: crouton 
corns: scorn 
corny: crony 
counts: tucson 
cnut: cunt 
coop: poco 
coops: scoop 
coots: scoot 
corps: crops 
corpus: croups 
cor: orc 
costs: scots 
cost: cots scot 
cows: scow 
cups: cusp 
crust: curst 
crusty: curtsy 
diddle: lidded 
diddler: riddled 
deified: edified 
defiled: fielded 
defend: fended 
refunded: underfed 
deeding: deigned 
demised: misdeed 
denied: indeed 
indented: intended 
underside: undesired 
derides: desired resided 
dieted: edited 
meddle: melded 
moldered: remolded 
mouldered: remoulded 
delude: dueled eluded 
demurred: murdered 
depend: pended 
dresden: reddens 
dented: tended 
denude: duende dundee endued 
deposed: seedpod 
fodder: forded 
drugged: grudged 
gilded: glided 
deluding: indulged 
girdled: griddle 
girded: ridged 
grounded: underdog 
dunged: nudged 
huddler: hurdled 
dioxides: oxidised 
spindled: splendid 
dwindles: swindled 
dreidl: riddle 
diluted: luddite 
midden: minded 
dowdiness: downsides 
disowned: downside 
didoes: diodes 
devoid: voided 
dried: redid 
doodler: drooled 
redound: rounded 
dyed: eddy 
deferment: fermented 
feeder: reefed 
deferrer: referred 
energised: reseeding 
greened: reneged 
wheedle: wheeled 
deliverers: redelivers 
deliverer: redeliver 
intervened: reinvented 
tenderise: teredines 
dewinesses: widenesses 
expediters: preexisted 
lessened: needless 
developers: redevelops 
developer: redevelop 
leered: reeled 
levered: reveled 
deletes: sleeted steeled 
demeter: metered 
repented: repetend 
evened: vendee 
deeper: peered 
deepest: steeped 
reserved: reversed 
reseed: seeder 
reseeds: seeders 
deserve: severed 
resewed: weeders 
reeved: veered 
forefend: offender 
deffer: reffed 
feeding: feigned 
friendlies: infielders 
feminised: misdefine 
edifiers: fireside 
deifies: edifies 
defiler: fiedler fielder refiled 
defilers: fielders 
definer: refined 
dessertspoonfuls: dessertspoonsful 
deflower: flowered 
performed: preformed 
deforest: forested fostered 
defer: freed 
edge: geed 
jiggered: rejigged 
heeding: neighed 
ingredients: tenderising 
predigestion: redepositing 
reediting: reignited 
gelidness: seedlings 
designer: redesign resigned 
designers: redesigns 
diverge: grieved 
ledges: sledge 
geode: ogeed 
reorged: rogered 
edger: greed 
edgers: greeds 
greedy: greyed 
edges: sedge 
relished: shielder 
dethrones: shortened 
dentistries: disinterest 
sensitised: tidinesses 
densities: destinies 
redline: relined 
idleness: linseeds 
enlisted: listened tinseled 
periled: replied 
lieder: relied 
delivers: silvered slivered 
deliver: relived reviled 
diesel: elides 
eyelids: seedily 
levied: veiled 
immersed: simmered 
domineers: modernise 
modernises: sermonised 
modernizes: sermonized 
midwestern: stemwinder 
premised: simpered 
demerits: demister 
demerit: merited mitered 
rowdinesses: wordinesses 
dnieper: repined ripened 
denier: nereid reined 
interred: trendier 
deniers: resined 
dissenter: residents tiredness 
dniester: inserted nerdiest resident trendies 
denies: denise seined 
dewiness: wideness 
dinettes: insetted 
endwise: sinewed 
endive: envied veined 
overdrives: overdrives 
reprised: respired 
despiser: disperse presides 
deputies: deputise 
desirer: dreiser resider 
retired: retried tireder 
rewired: weirder 
desire: eiders reside 
desires: resides 
editress: resisted 
reissued: residues 
dieters: reedits 
derives: deviser diverse revised 
dieter: reedit retied tiered 
devise: sieved 
demerol: modeler remodel 
modelers: remodels 
lenders: slender 
exploder: explored 
delores: resoled 
lowered: roweled 
devolve: evolved 
preludes: repulsed 
deeply: yelped 
dueler: eluder 
lewder: welder 
deem: mede meed 
demote: emoted 
permed: premed 
demurrers: murderers 
demurrer: murderer 
demurest: mustered 
deems: meeds 
eden: need 
endnote: tenoned 
ponderers: responder 
doreen: redone 
suspender: unpressed 
denser: sender 
redness: senders 
endures: ensured 
rented: tender 
denture: tenured 
endure: enured 
denver: nerved vender 
dense: needs 
nested: tensed 
endues: ensued 
netted: tented 
overdoes: overdose 
orderer: reorder 
resorted: restored 
erodes: redoes 
devote: vetoed 
deep: peed 
depress: pressed 
erupted: reputed 
deeps: speed 
deer: reed 
dresser: redress 
deers: reeds seder 
desserts: stressed 
deserts: dessert 
desert: deters rested 
strewed: wrested 
served: versed 
deter: treed 
redye: reedy 
detest: tested 
stewed: tweeds 
sewed: swede weeds 
desex: sexed 
dewey: weedy 
def: fed 
differ: riffed 
offends: sendoff 
duffer: ruffed 
dignifies: signified 
defiling: fielding 
deifying: edifying 
fidget: gifted 
fiendish: finished 
infidel: infield 
infidels: infields 
finked: knifed 
field: filed flied 
flirted: trifled 
fiend: fined 
finder: friend 
finders: friends 
fired: fried 
deify: edify 
enfold: fondle 
enfolds: fondles 
flooder: floored 
folder: refold 
folders: refolds 
flowed: fowled wolfed 
deform: formed 
deforms: serfdom 
founder: refound 
defrost: frosted 
feuds: fused 
gelding: niggled 
geldings: sledging 
digger: rigged 
dogleg: logged 
doglegs: slogged 
grudge: rugged 
delights: slighted 
delight: lighted 
impeding: impinged 
indenting: intending 
destining: indigents 
desiring: residing ringside 
rigidness: ringsides 
dieting: editing ignited 
gelid: glide 
melding: mingled 
goldmine: modeling 
moldering: remolding 
mouldering: remoulding 
goldmines: modelings 
longitudes: ungodliest 
dingles: singled 
glinted: tingled 
dueling: eluding indulge 
gloried: godlier 
gilder: girdle glider regild 
gilders: girdles gliders 
guilders: sludgier 
demurring: murdering 
midges: smidge 
ending: ginned 
grinned: rending 
undersigns: undressing 
sundering: undersign 
endings: sending 
denting: tending 
eroding: ignored negroid redoing 
wendigo: widgeon 
grinders: regrinds 
deigns: design 
signed: singed 
dirges: ridges 
dongle: golden longed 
gulden: lunged 
lodge: ogled 
glossed: godless 
grounder: reground 
guerdon: undergo 
drogues: gourdes groused 
drogue: gourde rouged 
hide: hied 
disinherit: rhinitides 
dishonest: hedonists 
hider: hired 
dhurrie: hurried 
dervish: shrived 
swedish: swished 
whited: withed 
hurdle: hurled 
dehorn: horned 
enshroud: unhorsed 
hooped: poohed 
herod: horde 
hordes: horsed rhodes shored 
hosed: shoed 
herds: sherd shred 
sherds: shreds 
distiller: redistill 
delimit: limited 
doilies: idolise 
dentitions: distention tendonitis 
deposition: positioned 
iodines: ionised 
editions: sedition 
dirtiness: disinters 
indies: inside 
insisted: tidiness 
disunite: nudities 
riptides: spirited 
dirties: ditsier 
kilned: kindle linked 
kindles: slinked 
dikes: skied 
deli: idle lied 
lilted: tilled 
mildness: mindless 
dimple: limped 
misled: smiled 
delusion: unsoiled 
spindle: splined 
swindles: wildness windless 
insulted: unlisted 
lindsey: snidely 
oiled: oldie 
despoil: dipoles 
soldier: solider 
oldies: soiled 
dissolute: solitudes 
piled: plied 
dispel: lisped 
idler: riled 
idlers: slider 
delis: idles sidle slide 
sidles: slides 
idlest: listed silted tildes 
